Number of Threads;		Steps;		Time;		Diff;		Comp PI;
12;		100000000000;		24.824000;		0.00000000000207789341;		3.14159265359187100000;
12;		1;		0.000000;		0.05840734641020706000;		3.20000000000000000000;
12;		10;		0.001000;		0.00083333141130559340;		3.14242598500109870000;
12;		100;		0.001000;		0.00000833333333138953;		3.14160098692312450000;
12;		1000;		0.001000;		0.00000008333333356703;		3.14159273692312670000;
12;		10000;		0.001000;		0.00000000083333340228;		3.14159265442312650000;
12;		100000;		0.002000;		0.00000000000833288993;		3.14159265359812600000;
12;		1000000;		0.029000;		0.00000000000008348877;		3.14159265358987660000;
12;		10000000;		0.017000;		0.00000000000001776357;		3.14159265358981100000;
12;		100000000;		0.039000;		0.00000000000003508305;		3.14159265358982800000;
12;		1000000000;		0.269000;		0.00000000000006661338;		3.14159265358985970000;
12;		10000000000;		2.543000;		0.00000000000004884981;		3.14159265358984200000;
12;		100000000000;		24.336000;		0.00000000000207878159;		3.14159265359187200000;
