Number of Threads,Steps,Time,Diff,Comp PI
2,1,0.001,0.058407346410207062,3.2000000000000002
2,10,0.001,0.00083333141130559341,3.1424259850010987
2,100,0,8.3333333322777003e-06,3.1416009869231254
2,1000,0,8.3333333567030006e-08,3.1415927369231267
2,10000,0.001,8.3333606681999999e-10,3.1415926544231292
2,100000,0.0040000000000000001,8.3533180400000002e-12,3.1415926535981464
2,1000000,0.01,1.0613732000000001e-13,3.1415926535898993
2,10000000,0.02,1.2967405000000001e-13,3.1415926535899228
2,100000000,0.13600000000000001,1.1679546e-13,3.1415926535899099
2,1000000000,1.304,1.0791368e-13,3.141592653589901
2,10000000000,13.090999999999999,2.3003821e-13,3.1415926535895631
2,100000000000,132.523,2.4607871299999999e-11,3.141592653614401
