Steps;	Time;	Diff;	Comp PI;
1;	0.000000;	0.05840734641020706000;	3.20000000000000000000;
10;	0.000000;	0.00083333141130559340;	3.14242598500109870000;
100;	0.000000;	0.00000833333333227770;	3.14160098692312540000;
1000;	0.000000;	0.00000008333332957022;	3.14159273692312270000;
10000;	0.000000;	0.00000000083334095180;	3.14159265442313400000;
100000;	0.002000;	0.00000000000836841707;	3.14159265359816150000;
1000000;	0.005000;	0.00000000000002886580;	3.14159265358976430000;
10000000;	0.027000;	0.00000000000006217249;	3.14159265358973100000;
100000000;	0.258000;	0.00000000000063327121;	3.14159265359042640000;
1000000000;	2.531000;	0.00000000000017763568;	3.14159265358997080000;
10000000000;	25.627000;	0.00000000000034239278;	3.14159265358945070000;
100000000000;	260.512000;	0.00000000016145307313;	3.14159265342834000000;
